Student | Kvdjg | F | 1978/2/29 | SGN 1073 FRTOQC | 10-6-501 | COMPUTER SCIENCE | 2
Student | Ywmvt | F | 1968/1/6 | LVB 924 GRBPIQ | 3-5-432 | COMPUTER SCIENCE | 1
Student | Zgwux | F | 1999/8/10 | UWP 159 KSCCJF | 6-2-156 | COMPUTER SCIENCE | 1
Student | Ptpfy | F | 1966/8/4 | MFX 154 EYCGWG | 7-3-360 | COMPUTER SCIENCE | 5
Student | Nbzoa | M | 1968/6/12 | VQU 758 HYBKJU | 1-2-681 | COMPUTER SCIENCE | 5
Student | Tkyvt | F | 1968/4/11 | BBH 164 GHKUMD | 3-2-1061 | COMPUTER SCIENCE | 5
Student | Cwakw | M | 1998/3/7 | BTS 872 KTTSEP | 3-4-972 | COMPUTER SCIENCE | 3
Student | Deszf | F | 1989/7/1 | TYK 1085 XEGRMY | 9-3-514 | COMPUTER SCIENCE | 4
Student | Cdjlv | F | 1979/6/9 | OBT 1030 YOHWPM | 8-1-948 | COMPUTER SCIENCE | 2
Student | Nhirx | M | 1968/1/14 | TXV 736 JLJTMC | 5-5-198 | COMPUTER SCIENCE | 2
Student | Alxus | F | 1969/10/28 | MGI 547 QNUYUT | 9-5-878 | COMPUTER SCIENCE | 3
Student | Fxuxh | M | 1968/11/26 | UJH 741 XTGEDA | 4-9-432 | COMPUTER SCIENCE | 5
Student | Bjpzh | M | 1998/1/21 | ZDL 837 CSCJRN | 5-6-765 | COMPUTER SCIENCE | 3
Student | Etcgq | M | 1996/7/4 | ZTO 867 VVYAWJ | 5-5-383 | COMPUTER SCIENCE | 2
Student | Bnbsw | M | 1989/6/9 | AVE 221 UUAEST | 9-5-1009 | COMPUTER SCIENCE | 1
Student | Fipdd | F | 1977/7/10 | KYM 322 OZQYJQ | 2-4-356 | COMPUTER SCIENCE | 3
Student | Hrxbb | F | 1969/2/6 | PMX 711 RRQQVD | 1-9-1067 | COMPUTER SCIENCE | 1
Student | Ftjxk | M | 1998/6/20 | YGN 715 XMMNCD | 7-7-146 | COMPUTER SCIENCE | 4
Student | Bzxds | F | 1986/2/23 | PGL 1002 FOVPRL | 6-10-369 | COMPUTER SCIENCE | 5
Student | Kdlhr | M | 1997/6/11 | XGM 200 CZPQFQ | 3-2-874 | COMPUTER SCIENCE | 3
Student | Vzudf | M | 1976/7/8 | IVE 179 IZHGIF | 1-3-224 | COMPUTER SCIENCE | 1
Student | Omdxl | M | 1969/5/4 | ATV 735 XOBNCB | 8-10-720 | COMPUTER SCIENCE | 4
